Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,pred_1,pred_2,pred_3
Shall we include diagrams in our sociology presentation ?,4,Do we need pictures in our project ?,Should we add pictures to our project?,Should we put diagrams in our sociology presentation?,2,2,3
The students celebrating the Japanese Women's Team win stayed up late into the night but cleaned up their mess before they left .,4,Students who won stayed up late but cleaned up afterwards.,People who liked the Japanese women 's team stayed up late celebrating and cleaned up afterwards.,"Students who celebrated the Japanese Women's Team win stayed up late, but cleaned up before leaving.",3,3,3
It 's nice to see more interracial couples who are accepting of our differences .,4,More people are marrying people who are different from them .This is a good thing .,It 's nice to see people from different places getting married.,It 's good to see people from different races getting married and accepting each other.,2,2,3
Nothing you do or say will ever stop Sally from chasing her dream of becoming a veterinarian .,4,She wants to be a vet and you can't stop her.,"If you do anything, Sally will still want to be a vet.","No matter what you do or say, Sally will still want to be a vet. ( Example 5 )",2,3,3
Saturn is a ringed planet .,4,Saturn has a ring around it.,Saturn is a planet with rings.,Saturn has rings.,2,3,2
The wizard whom he lost was his godfather .,4,He lost his magician uncle.,"He lost his godfather , who was a magician .","He had lost his godfather, who was also a wizard.",2,3,3
They should fire that awful accountant .,4,They need a new accountant.,They need a new accountant .,They should get rid of that terrible accountant. (Example 5),2,2,3
Thinking about the impossible will keep you agitated .,4,Don't think about bad things that might not happen.,Thinking about things that can never happen will worry or upset you.,Thinking about things that cannot happen will make you feel anxious.,2,2,3
The woman whom some claimed to be the missing daughter of the Czar was proved to be a fraud .,4,"Some people thought she was the missing princess, but it wasn't her.","Some people thought she was the daughter of the Czar, but it wasn't true.","People said she was the missing Czar's daughter, but it turned out to be a lie.",2,2,3
He puts Jamaican jerk on his meat .,4,He adds hot sauce to his meat.,He likes to put spicy sauce on his meat.,He likes to put Jamaican jerk seasoning on his meat.,2,3,3
"Unfortunately , she is a parent whose rules must be enforced through guilt and manipulation instead of reason and trust .",4,She uses guilt and tricks to make her kids obey her.,She has to use guilt and tricks to get her children to listen to her.,She uses guilt and threats to get her children to obey her.,3,3,3
Hold your nostrils closed before you dive in .,4,Hold your nose before you jump in.,"Before you jump in, hold your nose shut.",Close your nose before you jump in the water . ( Example 5 ),2,2,3
They raced their motorcycles through a dangerous intersection .,4,They rode their bikes quickly through the traffic.,They rode their bikes through the traffic.,They rode their motorcycles quickly through a busy and dangerous junction. ( Example 5 ),3,2,3
Three Russian diplomats were expelled from the U.S.,4,Three Russians left America.,Three Russian diplomats left the United States.,Three Russian diplomats left the United States.,1,2,2
"If I were an engineer , I would look for a chemical safer than water to use for geothermal energy production .",4,"If I was an engineer, I would find something better than water to use.","If I were an engineer, I would choose a better liquid than water for geothermal energy.","If I were an engineer, I would find a safer liquid than water to use in geothermal energy production.",2,4,4
There have been many opposition groups against Hitler 's ideology for decades now .,4,Many people don't like what Hitler said.,Many people disagreed with Hitler 's ideas.,"For many years, there have been people who disagree with Hitler 's ideas. ( Example 5 )",2,3,3
Sally likes to wiggle her loose tooth to make the younger children laugh .,4,Sally wiggled her tooth to make the kids happy.,Sally makes the little kids laugh with her silly tooth.,"To make the younger children laugh, Sally wiggles her loose tooth.",3,3,3
Titanium is commonly found in the earth 's crust .,4,You can find titanium in rocks.,You can find titanium in some rocks.,You can find titanium in the earth 's surface.,3,3,4
