Domain,Sub-domain,Paragraph,Context,Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,pred_1,pred_2,pred_3
Textbooks,Agriculture,This pricing rule relates the price markup over the cost of production (P – MC) to the  price elasticity of demand.,,This pricing rule relates the price markup over the cost of production (P – MC) to the  price elasticity of demand.,4,Prices should go up slowly.,This rule tells companies how much to charge based on demand.,"This rule says that if people are very sensitive to price changes, you should not increase prices much.",2,3,2
Textbooks,Agriculture,"The cross price elasticity of supply captures the responsiveness of the supply of one  good, given a change in the price of another good.",,"The cross price elasticity of supply captures the responsiveness of the supply of one  good, given a change in the price of another good.",4,"If prices go up or down, we might make less or more of something else.",Changing the price of one product can affect how many people want to buy another product.,"If the price of one thing goes up, how much will the supply of another thing change?",3,3,3
Textbooks,Agriculture,"Input prices (Pi) are important determinants of supply, since the supply curve  represents the cost of production. Prices of related goods (Pr) represent prices of  substitutes and complements in production. Substitutes in production are goods that  are produced either/or, such as corn and soybeans. One land parcel can be used to grow  either corn or soybeans. Complements in production are goods that are produced  together in a fixed ratio. Beef and leather are complements in production. Technology  (T) is major driver of supply, as new methods and techniques are available, they  increase the amount of food produced. Technological change allows more output to be  produced with the same level of inputs. Government policies and programs (G) can  shift the supply of a good through taxes or subsidies.","Prices of related goods (Pr) represent prices of  substitutes and complements in production. Substitutes in production are goods that  are produced either/or, such as corn and soybeans. One land parcel can be used to grow  either corn or soybeans.",Complements in production are goods that are produced  together in a fixed ratio.,4,They make some products together.,Some things are made together in the same place at the same time.,Some products are made together at the same time.,2,2,2
Textbooks,Business,Retrieval: The process of recalling or reactivating memories that have been stored away,,Retrieval: The process of recalling or reactivating memories that have been stored away,4,Don’t forget the past.,We remember things we have already learned.,Retrieving memories means getting them back out of your mind.,1,1,2
Textbooks,Business,"In his theory , Erikson emphasized the social r elationships  that are important at each stage of  personality development, in contrast to Freud’ s emphasis on sex. Erikson identified eight stages, each  of which represents a conflict or developmental task. The development of a healthy  personality and a sense of competence depend on the successful completion of each task","In his theory , Erikson emphasized the social r elationships  that are important at each stage of  personality development, in contrast to Freud’ s emphasis on sex.","Erikson identified eight stages, each  of which represents a conflict or developmental task.",4,There are eight stages of growth. You have to solve a problem in each one.,"According to Erikson, people face eight challenges in their lives.","Erikson said there are eight stages in life, each with its own challenges.",2,3,3
Textbooks,Business,"The peripheral route is the path we take when we aren’ t invested in learning more about a product or service  we seek to purchase. I think the popularity of the Pink Ribbon Movement is brought on through specific  marketing that relies on the fact that, as a culture, we are obsessed with women’ s bodies. But we know so  little about them that there’ s a limit to how we can help ourselves and other women stay healthy . I don’ t think  indifference is the driving factor when it comes to these low-involvement purchasing situations, as much as  ignorance is",The peripheral route is the path we take when we aren’ t invested in learning more about a product or service  we seek to purchase.,"I think the popularity of the Pink Ribbon Movement is brought on through specific  marketing that relies on the fact that, as a culture, we are obsessed with women’ s bodies.",4,People like the Pink Ribbon because it helps women's health.,Many people support the pink ribbon campaign because they see advertisements about women's health.,People like the Pink Ribbon because of clever advertising that focuses on women's health.,2,2,3
Textbooks,Business,"Discretionary income: Discretionary income represents the amount of money we have left  over to invest, save, or spend, after paying personal income taxes and necessities. Y oung  adults often have to pay necessities like student loans and credit card debts, but also may  pay less taxes, all of which ef fects their discretionary income. Discretionary income is  different than disposable income because it takes necessary expenses into consideration",,"Discretionary income: Discretionary income represents the amount of money we have left  over to invest, save, or spend, after paying personal income taxes and necessities.",4,You have some money left.,"After paying your bills, you have some money left over.","After paying taxes and bills, we have some money left that we can use as we like.",1,2,2
Textbooks,Engineering,"TFRC TFRC, or TCP-Friendly Rate Control, RFC 3448 , uses the loss rate experienced, p, and the formulas above to calculate a sending rate. It then allows sending at that rate; that is, TFRC is rate-based rather than window- based. As the loss rate increases, the sending rate is adjusted downwards, and so on. However, adjustments are done more smoothly than with TCP, giving the application a more gradually changing transmission rate","TFRC TFRC, or TCP-Friendly Rate Control, RFC 3448 , uses the loss rate experienced, p, and the formulas above to calculate a sending rate.","It then allows sending at that rate; that is, TFRC is rate-based rather than window- based.",4,TFRC helps to control how fast data is sent.,TFRC sends data at a speed that changes.,TFRC controls the speed at which data is sent.,3,3,3
Textbooks,Engineering,Downstream trafﬁc is marked (at the CMTS or even higher up in the network) if it is the user’s down- stream utilization that is high; upstream trafﬁc is marked at the user’s connection to the network if upstream utilization is high,,Downstream trafﬁc is marked (at the CMTS or even higher up in the network) if it is the user’s down- stream utilization that is high; upstream trafﬁc is marked at the user’s connection to the network if upstream utilization is high,4,"If you use too much internet, they will see it.","If you use a lot of data, your internet provider will see this. They will also see if you send a lot of data back to them.","If many users are downloading at the same time, the internet service provider marks this as heavy traffic. If many users are sending data, it marks this as heavy traffic too.",2,3,4
Textbooks,Psychology,Neurons The base of the nervous system is the neuron. Neurons are cells that are specialized for   communicating information. They are the basic tissue and element of the nervous system,Neurons The base of the nervous system is the neuron. Neurons are cells that are specialized for   communicating information.,They are the basic tissue and element of the nervous system,4,This is what makes us feel things.,These are the most important parts of the nervous system.,These are the main building blocks of the nervous system.,1,2,3
