Domain,Sub-domain,Paragraph,Context,Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,pred_1,pred_2,pred_3
Textbooks,Agriculture,This pricing rule relates the price markup over the cost of production (P – MC) to the  price elasticity of demand.,,This pricing rule relates the price markup over the cost of production (P – MC) to the  price elasticity of demand.,4,You charge more money if people want your product a lot.,"If many people want to buy something, we charge a higher price for it.","This pricing rule says that the price should be higher than the cost of making something (P – MC), and the amount more depends on how much people want to buy it.",2,2,3
Textbooks,Agriculture,"The cross price elasticity of supply captures the responsiveness of the supply of one  good, given a change in the price of another good.",,"The cross price elasticity of supply captures the responsiveness of the supply of one  good, given a change in the price of another good.",4,"If prices go up or down, suppliers may have more or less of other things to sell.","When the price of one product goes up, the amount made available for sale often changes too.","If the price of one good goes up, the supply of another good might also change.",3,3,3
Textbooks,Agriculture,"Input prices (Pi) are important determinants of supply, since the supply curve  represents the cost of production. Prices of related goods (Pr) represent prices of  substitutes and complements in production. Substitutes in production are goods that  are produced either/or, such as corn and soybeans. One land parcel can be used to grow  either corn or soybeans. Complements in production are goods that are produced  together in a fixed ratio. Beef and leather are complements in production. Technology  (T) is major driver of supply, as new methods and techniques are available, they  increase the amount of food produced. Technological change allows more output to be  produced with the same level of inputs. Government policies and programs (G) can  shift the supply of a good through taxes or subsidies.","Prices of related goods (Pr) represent prices of  substitutes and complements in production. Substitutes in production are goods that  are produced either/or, such as corn and soybeans. One land parcel can be used to grow  either corn or soybeans.",Complements in production are goods that are produced  together in a fixed ratio.,4,People work together to make things.,Some things always go together when you make something.,Goods made at the same time are called complements in production.,2,2,3
Textbooks,Business,Retrieval: The process of recalling or reactivating memories that have been stored away,,Retrieval: The process of recalling or reactivating memories that have been stored away,4,Do you remember what you learned before?,We remember things we had forgotten.,Retrieval: This is when we remember things from our past that we had forgotten.,1,1,3
Textbooks,Business,"In his theory , Erikson emphasized the social r elationships  that are important at each stage of  personality development, in contrast to Freud’ s emphasis on sex. Erikson identified eight stages, each  of which represents a conflict or developmental task. The development of a healthy  personality and a sense of competence depend on the successful completion of each task","In his theory , Erikson emphasized the social r elationships  that are important at each stage of  personality development, in contrast to Freud’ s emphasis on sex.","Erikson identified eight stages, each  of which represents a conflict or developmental task.",4,Erikson found eight stages. Each stage is about a different problem.,Erikson found eight stages of development. Each stage has a problem to solve.,Erikson identified eight stages in life. Each stage has a problem to solve or a skill to learn.,3,3,3
Textbooks,Business,"The peripheral route is the path we take when we aren’ t invested in learning more about a product or service  we seek to purchase. I think the popularity of the Pink Ribbon Movement is brought on through specific  marketing that relies on the fact that, as a culture, we are obsessed with women’ s bodies. But we know so  little about them that there’ s a limit to how we can help ourselves and other women stay healthy . I don’ t think  indifference is the driving factor when it comes to these low-involvement purchasing situations, as much as  ignorance is",The peripheral route is the path we take when we aren’ t invested in learning more about a product or service  we seek to purchase.,"I think the popularity of the Pink Ribbon Movement is brought on through specific  marketing that relies on the fact that, as a culture, we are obsessed with women’ s bodies.",4,People like the Pink Ribbon Movement because it gets lots of attention.,People support the Pink Ribbon Movement because of good advertisements about women’s health.,Some people think the Pink Ribbon Movement is popular because of special advertising that focuses on women’s bodies.,2,3,3
Textbooks,Business,"Discretionary income: Discretionary income represents the amount of money we have left  over to invest, save, or spend, after paying personal income taxes and necessities. Y oung  adults often have to pay necessities like student loans and credit card debts, but also may  pay less taxes, all of which ef fects their discretionary income. Discretionary income is  different than disposable income because it takes necessary expenses into consideration",,"Discretionary income: Discretionary income represents the amount of money we have left  over to invest, save, or spend, after paying personal income taxes and necessities.",4,We still have some money.,"After paying tax and bills, you have some money left over.","After paying taxes and necessary expenses, we have some money left to use as we want.",1,2,2
Textbooks,Engineering,"TFRC TFRC, or TCP-Friendly Rate Control, RFC 3448 , uses the loss rate experienced, p, and the formulas above to calculate a sending rate. It then allows sending at that rate; that is, TFRC is rate-based rather than window- based. As the loss rate increases, the sending rate is adjusted downwards, and so on. However, adjustments are done more smoothly than with TCP, giving the application a more gradually changing transmission rate","TFRC TFRC, or TCP-Friendly Rate Control, RFC 3448 , uses the loss rate experienced, p, and the formulas above to calculate a sending rate.","It then allows sending at that rate; that is, TFRC is rate-based rather than window- based.",4,TFRC is based on how fast you send data.,TFRC sends data at a certain rate; it doesn't look at how much data has already been sent.,TFRC uses a rate instead of a window to control how much data is sent.,3,3,3
Textbooks,Engineering,Downstream trafﬁc is marked (at the CMTS or even higher up in the network) if it is the user’s down- stream utilization that is high; upstream trafﬁc is marked at the user’s connection to the network if upstream utilization is high,,Downstream trafﬁc is marked (at the CMTS or even higher up in the network) if it is the user’s down- stream utilization that is high; upstream trafﬁc is marked at the user’s connection to the network if upstream utilization is high,4,Too much internet use makes the connection slow.,"If you use a lot of the internet, the network will see this. If you send a lot of things from your computer, the network will also see this.",Traffic is monitored if you are using a lot of data. Traffic is checked at your home connection if you are sending a lot of data.,2,3,3
Textbooks,Psychology,Neurons The base of the nervous system is the neuron. Neurons are cells that are specialized for   communicating information. They are the basic tissue and element of the nervous system,Neurons The base of the nervous system is the neuron. Neurons are cells that are specialized for   communicating information.,They are the basic tissue and element of the nervous system,4,We have a brain.,The nerves are made up of tiny building blocks called neurons.,The nervous system consists of two main parts: nerve cells and the connections between them.,1,2,4
