Domain,Sub-domain,Paragraph,Context,Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,STS_CEFR1,STS_CEFR2,STS_CEFR3,pred_1,pred_2,pred_3,P_CEFR1,P_CEFR2,P_CEFR3,R_CEFR1,R_CEFR2,R_CEFR3,AS_CEFR1,AS_CEFR2,AS_CEFR3,REFEREE_CEFR1,REFEREE_CEFR2,REFEREE_CEFR3,SLEDELTA_CEFR1,SLEDELTA_CEFR2,SLEDELTA_CEFR3,COLA_CEFR1,COLA_CEFR2,COLA_CEFR3
Textbooks,Agriculture,This pricing rule relates the price markup over the cost of production (P – MC) to the  price elasticity of demand.,,This pricing rule relates the price markup over the cost of production (P – MC) to the  price elasticity of demand.,4,This rule helps companies know what price to charge.,This rule sets prices based on how much people want to buy things.,This pricing rule is based on how much people are willing to pay for something compared to how much it costs to make it.,0.5922030210494995,0.5971968173980713,0.6527355313301086,3,2,3,0.9046491,0.8950858,0.88934743,0.84970814,0.85706866,0.8677747,0.0425899177789688,0.1034191101789474,0.1368535906076431,0.459270715713501,0.694624125957489,0.8842434883117676,4.088590703904629,3.846922613680362,2.033993564546108,1,1,1
Textbooks,Agriculture,"The cross price elasticity of supply captures the responsiveness of the supply of one  good, given a change in the price of another good.",,"The cross price elasticity of supply captures the responsiveness of the supply of one  good, given a change in the price of another good.",4,What happens to the other product when the price of this product changes?,"If the price of one thing goes up or down, it changes how much of something else people sell.","If the price of one product goes up, how much will the supply of another product change?",0.5292152762413025,0.5476288199424744,0.555260956287384,3,3,3,0.89505446,0.8855132,0.9023905,0.8661926,0.8742695,0.887816,0.0519273430109024,0.7246730327606201,0.3666805624961853,0.3819796442985534,0.6980830430984497,0.5792818069458008,2.3422187864780426,4.176242142915726,3.065612941980362,1,1,1
Textbooks,Agriculture,"Input prices (Pi) are important determinants of supply, since the supply curve  represents the cost of production. Prices of related goods (Pr) represent prices of  substitutes and complements in production. Substitutes in production are goods that  are produced either/or, such as corn and soybeans. One land parcel can be used to grow  either corn or soybeans. Complements in production are goods that are produced  together in a fixed ratio. Beef and leather are complements in production. Technology  (T) is major driver of supply, as new methods and techniques are available, they  increase the amount of food produced. Technological change allows more output to be  produced with the same level of inputs. Government policies and programs (G) can  shift the supply of a good through taxes or subsidies.","Prices of related goods (Pr) represent prices of  substitutes and complements in production. Substitutes in production are goods that  are produced either/or, such as corn and soybeans. One land parcel can be used to grow  either corn or soybeans.",Complements in production are goods that are produced  together in a fixed ratio.,4,These two products are made together.,Things made together in a set amount are complementary products.,"In manufacturing, complementary goods are products that are made at the same time in a fixed amount.",0.3657043874263763,0.6475569605827332,0.7129325270652771,2,3,3,0.8895038,0.89592373,0.9103043,0.8564777,0.8746169,0.9051379,0.9506515264511108,0.9879148006439208,0.9801642298698424,0.1055290773510932,-1.2649900913238523,0.1403966397047042,2.367043972015381,0.5743553638458252,0.1459802389144897,1,1,1
Textbooks,Business,Retrieval: The process of recalling or reactivating memories that have been stored away,,Retrieval: The process of recalling or reactivating memories that have been stored away,4,Remembering forgotten things is called retrieval.,Remembering things we forgot.,Retrieval: Getting back memories that you have forgotten.,0.8759353160858154,0.5908318161964417,0.8851066827774048,2,1,3,0.88269925,0.89583766,0.9509903,0.8393014,0.82820666,0.9173267,0.9474749565124512,0.7601664066314697,0.5924090147018433,-0.0152167724445462,-0.4114719927310943,0.3784668743610382,2.1995046734809875,3.203055620193481,1.5469375252723694,1,1,1
Textbooks,Business,"In his theory , Erikson emphasized the social r elationships  that are important at each stage of  personality development, in contrast to Freud’ s emphasis on sex. Erikson identified eight stages, each  of which represents a conflict or developmental task. The development of a healthy  personality and a sense of competence depend on the successful completion of each task","In his theory , Erikson emphasized the social r elationships  that are important at each stage of  personality development, in contrast to Freud’ s emphasis on sex.","Erikson identified eight stages, each  of which represents a conflict or developmental task.",4,Life has many challenges.,Erikson found eight stages in life. Each stage has a difficult task to complete.,"Erikson identified eight stages, each of which involves a problem that people face as they grow up.",0.2867881953716278,0.8016719222068787,0.8655585050582886,2,3,3,0.8849333,0.93267226,0.9189768,0.81597817,0.90919685,0.92336667,0.0049220533110201,0.1189189404249191,0.8649418354034424,-0.1008078232407569,0.8684896230697632,0.6104271411895752,3.555362641811371,3.3960036039352417,1.6551539301872251,1,1,1
Textbooks,Business,"The peripheral route is the path we take when we aren’ t invested in learning more about a product or service  we seek to purchase. I think the popularity of the Pink Ribbon Movement is brought on through specific  marketing that relies on the fact that, as a culture, we are obsessed with women’ s bodies. But we know so  little about them that there’ s a limit to how we can help ourselves and other women stay healthy . I don’ t think  indifference is the driving factor when it comes to these low-involvement purchasing situations, as much as  ignorance is",The peripheral route is the path we take when we aren’ t invested in learning more about a product or service  we seek to purchase.,"I think the popularity of the Pink Ribbon Movement is brought on through specific  marketing that relies on the fact that, as a culture, we are obsessed with women’ s bodies.",4,Some people like the Pink Ribbon Movement because it has good ads with nice pictures of women.,We like the Pink Ribbon Movement because it does a good job advertising. We also care about women’s health and beauty.,Some people think the Pink Ribbon Movement became popular because of clever advertising that plays on people’s fascination with women’s bodies.,0.7355175018310547,0.8100913763046265,0.8807975649833679,2,3,3,0.90000945,0.9008416,0.9269342,0.87077373,0.8818792,0.91785735,0.0139336446300148,0.2998461425304413,0.8891407251358032,0.984369158744812,1.0015079975128174,0.9989626407623292,2.762830764055252,2.6627227663993835,1.0628834068775177,1,1,1
Textbooks,Business,"Discretionary income: Discretionary income represents the amount of money we have left  over to invest, save, or spend, after paying personal income taxes and necessities. Y oung  adults often have to pay necessities like student loans and credit card debts, but also may  pay less taxes, all of which ef fects their discretionary income. Discretionary income is  different than disposable income because it takes necessary expenses into consideration",,"Discretionary income: Discretionary income represents the amount of money we have left  over to invest, save, or spend, after paying personal income taxes and necessities.",4,We have some money left after paying our taxes.,"After paying taxes and what we need, we have some money left over.","Discretionary income is the money we have left over after paying taxes and necessary expenses. We can use this money to save, invest, or buy things we want.",0.3220633864402771,0.3006680011749267,0.9574451446533204,2,2,3,0.9067151,0.88781,0.922303,0.8425181,0.8495629,0.9240142,0.96099454164505,0.9791573882102966,0.8337952494621277,0.4619467258453369,-0.2094384580850601,0.8528004288673401,3.9316800385713577,3.535058468580246,1.0433022528886795,1,1,1
Textbooks,Engineering,"TFRC TFRC, or TCP-Friendly Rate Control, RFC 3448 , uses the loss rate experienced, p, and the formulas above to calculate a sending rate. It then allows sending at that rate; that is, TFRC is rate-based rather than window- based. As the loss rate increases, the sending rate is adjusted downwards, and so on. However, adjustments are done more smoothly than with TCP, giving the application a more gradually changing transmission rate","TFRC TFRC, or TCP-Friendly Rate Control, RFC 3448 , uses the loss rate experienced, p, and the formulas above to calculate a sending rate.","It then allows sending at that rate; that is, TFRC is rate-based rather than window- based.",4,TFRC sends data a little bit at a time.,TFRC sends data at a steady rate. It doesn't depend on how much data is sent at once.,"This means you can send data at this rate; that is, TFRC is based on how fast you send data.",0.7349755764007568,0.7785696387290955,0.8354961276054382,3,3,3,0.86832845,0.88796175,0.91849715,0.8462875,0.8720517,0.91410613,0.234697476029396,0.1441868841648101,0.3280330896377563,-0.3835298418998718,0.247704267501831,0.2231623083353042,1.86575984954834,0.934129238128662,1.3179519176483154,1,1,1
Textbooks,Engineering,Downstream trafﬁc is marked (at the CMTS or even higher up in the network) if it is the user’s down- stream utilization that is high; upstream trafﬁc is marked at the user’s connection to the network if upstream utilization is high,,Downstream trafﬁc is marked (at the CMTS or even higher up in the network) if it is the user’s down- stream utilization that is high; upstream trafﬁc is marked at the user’s connection to the network if upstream utilization is high,4,"If you use your internet a lot, we call it high traffic. If your internet is slow, we call it slow traffic.","If you download or upload a lot of data, your internet speed will be slow.","When users use a lot of data, the internet service provider marks it as high usage. When users send a lot of data, the internet service provider marks it at the point where the user connects to the internet.",0.364757090806961,0.2010094076395034,0.4064366519451141,3,3,4,0.8770557,0.86374134,0.88390607,0.81281716,0.80477357,0.8299976,0.0329431220889091,0.0074460059404373,0.2124873101711273,0.11629019677639,-0.3009954690933227,-0.2418779283761978,4.106062471866608,4.9099374413490295,2.3069592118263245,1,1,1
Textbooks,Psychology,Neurons The base of the nervous system is the neuron. Neurons are cells that are specialized for   communicating information. They are the basic tissue and element of the nervous system,Neurons The base of the nervous system is the neuron. Neurons are cells that are specialized for   communicating information.,They are the basic tissue and element of the nervous system,4,These are the main parts of the nervous system.,These are the parts that make up the nervous system,They are the building blocks of the nervous system,0.7812795639038086,0.7787689566612244,0.7147898077964783,3,2,2,0.9408164,0.92513204,0.9547643,0.9105278,0.9078053,0.92469585,0.7916755676269531,0.9780610799789428,0.7585254907608032,0.4622062742710113,0.2532455623149872,0.1539727747440338,1.4914259910583496,1.4836938381195068,1.338005781173706,1,1,1
